"앞으로 주의하겠습니다.";"Ich werde in Zukunft darauf achten.";;"basis satz";"kommunikation"
"실수한 건데요, 뭘.";"Es war nur ein Fehler, wirklich.";;"basis satz";"kommunikation"
"실례가 많았습니다.";"Ich war sehr unhöflich.";;"basis satz";"kommunikation"
"일부러 그런 것도 아닌데요, 뭘.";"Es war doch nicht absichtlich.";;"basis satz";"kommunikation"
"대단히 죄송합니다.";"Es tut mir sehr leid.";;"basis satz";"kommunikation"
"신경 쓰지 마세요.";"Machen Sie sich keine Sorgen.";;"basis satz";"kommunikation"
"불편을 드려 죄송합니다.";"Entschuldigung für die Unannehmlichkeiten.";;"basis satz";"kommunikation"
"그럴 수도 있죠.";"Das kann passieren.";;"basis satz";"kommunikation"
"사과 드리겠습니다.";"Ich möchte mich entschuldigen.";;"basis satz";"kommunikation"
"괜찮아요";"Es ist OK.";;"basis satz";"gefühl"
"미안해요";"Es tut mir leid.";;"basis satz";"kommunikation"
"죄송합니다";"Entschuldigen Sie, bitte.";;"basis satz";"kommunikation"
"그저 그렇게";"einfach so";;"basis satz"
"오랜만이에요";"Es ist eine Weile her";;"basis satz"
"웬일이에요?";"Was ist los? / Was gibt’s Neues?";;"basis satz"
"성함이 어떻게 되세요?";"Wie heissen Sie? (honorativ)";;"basis satz";"honorativ"
"어쩔 수 없어.";"Das kann man nicht ändern.";;"basis satz";"redewendung"
"자리를 양보하다";"den Sitz anbieten";;"basis satz"
"두 살 어리다";"zwei Jahre jünger sein";;"basis satz";"sozial"
"별말씀을요.";"Das ist keine grosse Sache.";;"basis satz"
"진심으로 감사드립니다";"Herzlichen Dank";;"basis satz"
"미안하긴요";"Es muss dir nicht leid tun";;"basis satz"
"고맙기는요";"Gerne geschehen";;"basis satz"
"부탁을 들어주다";"einer Bitte nachkommen";;"basis satz"
"어떻게 할 수 없다";"nicht anders machbar sein";;"basis satz"
"어쩌지요?";"Wie?!";;"basis satz"
"최선을 다하다";"sein Bestes geben";;"basis satz"
"여쭤보고 싶은 것이 있어요";"Da ist etwas, das ich fragen möchte";;"basis satz"
"자리 있어?";"Ist der Platz frei?";;"basis satz"
"행운을 빌어요";"Viel Glück";;"basis satz"
"똑같이 생겼다";"identisch aussehen";;"basis satz"
"실예지만";"Entschuldigung, aber...";;"basis satz"
"금방 오다";"gleich kommen";;"basis satz"
"깎아 주세요";"Bitte geben Sie einen Preisnachlass";;"basis satz";"einkaufen"
"별일이 없다";"nicht besonders sein";;"basis satz"
"수고했어";"Gut gemacht!";;"basis satz"
"연세가 어떻게 되세요?";"Wie alt sind Sie? (honorativ)";;"basis satz";"honorativ"
"댁이 어떻게 되세요?";"Wie ist ihre Adresse? (honorativ)";;"basis satz";"honorativ"
"돈을 맡기다";"Geld einzahlen";;"basis satz";"geld"
"돈을 인출하다";"Geld abheben";;"basis satz";"geld"
"돈을 찾다";"Geld abheben";;"basis satz";"geld"
"이것은 무엇일까?";"Was ist das?";;"basis satz"
"누구거?";"Wer ist (das)?";;"basis satz"
"펜이 안 나와";"Der Stift ist leer";;"basis satz"
"오래간만이야";"Es ist lange her";;"basis satz"
"어때?";"Wie ist es?";;"basis satz"
"이거 누구한테 있어?";"Wem gehört das hier?";;"basis satz"
"실례합니다";"Entschuldigung bitte";;"basis satz"
"무슨뜻이야?";"Was bedeutet das?";;"basis satz"