"년";"die Schlampe";;"beleidigung"
"주딩이";"das Maul";"Beleidigend für Mund";"beleidigung"
"쌍놈";"wertlos / unwürdig";"Bezeichnet Menschen nierigsten Standes. In der Regel als Beleidigung.
z.B. 쌍놈 새끼 = Nichtswürdiger Bastard";"beleidigung"
"호랑말코";"Vollidiot:in";;"beleidigung"
"또라이";"Spinner:in / Irre";;"beleidigung"
"발싸개";"Abschaum";"Wörtlich Fusswickel";"beleidigung"
"자속";"Idiot / Depp";;"beleidigung"
"거머리";"der Blutegel";"Übertragen auch Klette";"beleidigung";"tier"
"개자식";"Hundesohn / Bastard";;"beleidigung"
"미친놈";"der Verrückte / Spinner";;"beleidigung"
"몰상식하다";"den Verstand verloren haben";"Sehr negativ. Stark aus der Norm fallen.";"beleidigung"
"정신 나다";"den Verstand verlieren";;"beleidigung"
"모욕당하다";"beleidigt sein";;"beleidigung";"gefühl";"sozial"
"이놈아";"der Halunke";;"beleidigung";"sozial"
"짠돌이";"der Geizhals";;"beleidigung";"geld"
"야단치다";"schimpfen";;"beleidigung";"sozial"