"편의점";"der 24h-Shop / Späti";;"einkaufen";"stadt"
"도두보이다 / 돋보이다";"vorteilhaft aussehen";;"einkaufen"
"단골";"Stamm- (Kunde / Gast / Laden)";;"einkaufen"
"바자회";"der Wohtätikeits-Basar";;"einkaufen";"gesellschaft"
"매진되다";"ausverkauft sein";;"einkaufen";"kultur"
"가성비가 좋다";"gutes Preis-Leistungs-Verhältnis haben";;"einkaufen"
"수리를 맡기다";"zur Reparatur geben";;"einkaufen";"technik"
"원짜리";"Won-Schein";"z.B. 삼천 원짜리";"einkaufen";"geld"
"상품";"das Produkt / die Ware";;"einkaufen"
"사이즈";"die (Kleider)-Größe";;"einkaufen";"kleidung"
"장보기";"das Einkaufen (im Markt)";;"einkaufen"
"에누리";"der Fantasiepreis";"Überteuert, Scheinpreis";"einkaufen";"geld"
"어울리다";"jmd. stehen / gut aussehen";;"einkaufen"
"포장";"die Verpackung";;"einkaufen"
"포장을 풀다";"auspacken";;"einkaufen"
"문구";"die Schreibwaren";;"einkaufen";"schule"
"번화가";"das Einkaufsviertel";;"einkaufen";"stadt"
"1회용";"der Einmalgebrauch";;"einkaufen"
"고급";"die Hochwertigkeit";;"einkaufen";"material"
"포함하다";"inklusive sein";;"einkaufen"
"경매";"die Versteigerung";;"einkaufen"
"보증서";"die Garantie";;"einkaufen";"recht"
"보증 기간";"der Garantie-Zeitraum";;"einkaufen";"recht"
"바가지를 씌우다";"über den Tisch ziehen";;"einkaufen";"geld";"kriminal"
"반품하다";"(Produkt) zurückgeben";;"einkaufen"
"일시불";"die Sofortzahlung";;"einkaufen"
"가격";"der Preis";;"einkaufen";"geld"
"신상";"die Neuerscheinung";;"einkaufen"
"중고 거래";"der Second-Hand-Shop";;"einkaufen"
"매장";"der Verkaufsraum";;"einkaufen"
"방";"der Laden";;"einkaufen"
"기능";"die technische Fähigkeit";;"einkaufen";"technik"
"물품";"der Artikel / das Produkt";;"einkaufen"
"품절";"ausverkauft";;"einkaufen"
"장을 보다";"einkaufen";;"einkaufen"
"팸플릿";"das Prospekt";;"einkaufen";"kultur"
"백화점";"das Kaufhaus";;"einkaufen"
"할부하다";"in Raten zahlen";;"einkaufen";"geld"
"휴게실";"die Lounge";;"einkaufen";"stadt"
"직원";"das Personal";;"einkaufen"
"목록";"der Katalog";;"einkaufen"
"두리번거리다";"sich umsehen";;"einkaufen"
"환불";"die Erstattung";;"einkaufen"
"환";"der Tausch";;"einkaufen";"geld"
"예매";"der Vorauskauf / Vorverkauf";;"einkaufen"
"면세점";"der Duty-Fee-Shop";;"einkaufen"
"할인받다";"Rabatt bekommen";;"einkaufen"
"세탁소";"die Wäscherei";;"einkaufen";"kleidung"
"상품권";"der Gutschein";;"einkaufen"
"문구점";"das Schreibwarengeschäft";;"einkaufen"
"주머니";"der Beutel";"z.B. 바지 주머니 = Hosentasche";"einkaufen"
"영수증";"die Quittung";;"einkaufen"
"환불 받다";"Erstattung erhalten";;"einkaufen"
"잘 어울리다";"gut zusammenpassen";;"einkaufen";"kleidung"
"꽃집";"das Blumengeschäft";;"einkaufen";"stadt"
"가게";"das Geschäft";;"einkaufen"
"자동판매기";"der Verkaufsautomat";;"einkaufen";"technik"
"시장";"der Markt";;"einkaufen"
"미용실";"der Schönheits-Salon";;"einkaufen"
"안경점";"das Brillengeschäft";;"einkaufen"