"묻다";"befleckt / beschmiert sein";;"kleidung"
"빤쓰";"der Schlüpfer";;"kleidung"
"겉에 입은 옷";"die Äußere Kleidung";;"kleidung"
"복장";"das Outfit / die Bekleidung";;"kleidung"
"뜨개질";"das Stricken";;"kleidung"
"씌우다";"übergezogen werden / bedecken";"Kausativ von 쓰다 (anziehen / tragen)";"kausativ";"kleidung"
"벗기다";"jmd. ausziehen";;"kausativ";"kleidung";"sozial"
"반지";"der Ring";;"kleidung"
"걸치다";"anlegen / überwerfen";;"kleidung"
"남성";"männlich / für Männer";;"kleidung";"kultur"
"품";"die Weite (Kleidung)";;"kleidung"
"격식을 차리지 않다";"légère sein";;"kleidung"
"실내화";"die Hausschuhe";;"kleidung"
"찢어지다";"reissen";;"kleidung";"technik"
"소매";"der Ärmel";;"kleidung"
"면바지";"die Baumwollhose";;"kleidung"
"굽";"die Absätze";;"kleidung"
"두루마기";"traditioneller koreanischer Mantel";;"kleidung"
"빼다";"abnehmen";;"kleidung"
"목도리";"der Schal";;"kleidung"
"내복";"warme Unterwäsche";;"kleidung"
"웃옷";"die Jacke";;"kleidung"
"관";"die Krone";;"kleidung"
"갈아입다";"sich umziehen";;"kleidung"
"벨트를 차다";"einen Gürtel tragen";;"kleidung"
"시계를 차다";"Armbanduhr tragen";;"kleidung"
"물방울 무늬";"das Punktmuster";;"kleidung"
"촌스럽다";"unmodisch sein";"Eigentlich wörtlich “dörflich”";"kleidung"
"외투";"der Mantel";;"kleidung"
"팔찌";"das Armband";;"kleidung"
"보석";"der Schmuck";;"kleidung"
"어깨에 매는 가방";"die Schultertasche";;"kleidung"
"핸드백";"die Handtasche (hand bag)";;"kleidung"
"주머니";"die Hosen- / Jackentasche";;"kleidung"
"가죽";"das Leder";;"kleidung"
"단추";"der Knopf";;"kleidung";"technik"
"털신발";"gefütterte Schuhe";;"kleidung"
"겨울 옷";"die Winterkleidung";;"kleidung"
"수영복";"die Schwimmkleidung";;"kleidung";"sport"
"귀고리";"die Ohrringe";;"kleidung"
"목걸이";"die Halskette";;"kleidung"
"치수";"die Mass-Grösse";;"kleidung"
"유행";"die Mode";;"kleidung"
"구두";"die Ausgehschuhe";;"kleidung"