"입이 가볍다";"indiskret / geschwätzig sein";"Wörtlich “leichte Lippen haben”";"kommunikation";"redewendung"
"오해를 풀다";"Missverständnis auflösen";;"kommunikation"
"사과하다";"sich entschuldigen";;"kommunikation";"sozial"
"변명하다";"sich rechtfertigen";;"kommunikation"
"말실수하다";"etwas falsches sagen";"Sich im Ton vergreifen";"kommunikation";"leben"
"소리샘";"die Voicemail-Box";;"kommunikation";"technik"
"연루하다";"beteiligt / involviert sein";;"kommunikation";"sozial"
"안부를 묻다";"jemanden grüssen";"Wörtlich, nach jemandes Sicherheit fragen";"kommunikation";"redewendung"
"추천";"die Empfehlung";;"kommunikation"
"첨부";"der (Mail-) Anhang";;"kommunikation"
"합하다";"einig sein";"Auch „eine Summe bilden“";"kommunikation"
"공지";"die Ankündigungen";;"kommunikation"
"입을 다물다";"schweigen";"Wörtlich: Den Mund halten";"kommunikation"
"권하다";"empfehlen";;"kommunikation";"sozial"
"속삭이다";"flüstern";;"kommunikation"
"답장";"das Antwortschreiben";;"kommunikation"
"토론하다";"diskutieren";;"kommunikation"
"신호";"das Signal";;"kommunikation";"technik"
"송수신";"die Übertragung";;"kommunikation"
"전파";"die Radiowellen";;"kommunikation";"technik"
"경고";"die Warnung";;"kommunikation"
"구두";"mündlich";;"kommunikation"
"게시판";"der Aushang";;"kommunikation";"stadt"
"잡담";"der Small-Talk";;"kommunikation";"sozial"
"요구하다";"fordern";;"kommunikation"
"입에 오르내리다";"lästern";;"kommunikation"
"말을 꺼내다";"Gespräch anfangen";;"kommunikation";"sozial"
"합의하다";"sich einigen";;"kommunikation";"politk";"sozial"
"최신형";"das Neueste";;"kommunikation"
"상대방";"der Gegenüber";;"kommunikation";"sozial"
"빌다";"bitten";;"kommunikation"
"전하며 살다";"in Kontakt bleiben";;"kommunikation";"sozial"
"소식";"die Neuigkeiten";;"kommunikation"
"오해하다";"missverstehen";;"kommunikation"
"칭찬";"das Kompliment";;"kommunikation";"sozial"
"안내방송";"die Ankündigung";;"kommunikation"
"거절하다";"ablehnen";;"kommunikation"
"선견";"die Vision";;"kommunikation";"politk"
"수다를 떨다";"gesprächig sein";;"kommunikation";"sozial"
"그럭저럭";"so-oder-so / irgendwie";;"kommunikation";"sozial"
"문자하다";"Nachrichten schreiben";;"kommunikation"
"전달하다";"übermitteln";;"kommunikation"
"소리치다";"schreien";;"kommunikation";"sozial"
"할 얘기가 있다";"etwas zu Besprechen haben";;"kommunikation"
"소문 얘기";"das Gerücht";;"kommunikation";"sozial"
"메모 전하다";"eine Notiz hinterlassen";;"kommunikation"
"큰소리로 말하다";"mit lauter Stimme sprechen";;"kommunikation"
"말을 걸다";"ein Gespräch anfangen";;"kommunikation"
"우편함";"der Briefkasten";;"brief";"kommunikation"
"소문";"das Gerücht";;"kommunikation";"sozial"
"호출";"der Ruf";;"kommunikation"
"음성메일함";"die Voicemailbox";;"kommunikation"
"자동응답기";"die (Voice-)Mailbox";;"kommunikation"
"전하다";"mitteilen";;"kommunikation"
"말씀";"die Sprache / das Reden";;"kommunikation"
"추천하다";"empfehlen";;"kommunikation"
"연락하다";"Kontakt haben";;"kommunikation";"sozial"
"이야기";"das Gespräch";;"kommunikation"
"전화기";"das Telefon";;"kommunikation"