"머리카락";"die Haare";"Kurz auch einfach nur 머리";"körper"
"염색하다";"färben";"z.B. 머리를 염색하다 = Haare färben";"körper"
"불알 / 부랄";"die Eier (Hoden)";;"körper"
"몸짱";"der durchtrainierte Körper";"Umgangssprachlich";"körper"
"고개를 갸웃하다";"den Kopf neigen";"Beschreibt Nachdenken, Zweifel oder Verwirrung.";"gefühl";"körper"
"삐다";"verstauchen";"z.B. 손목을 삐다";"gesundheit";"körper"
"발목";"der Knöchel";;"körper"
"손목";"das Handgelenk";;"körper"
"눈이 충혈되다";"rote Augen haben";"Wörtlich blutunterlaufen";"gesundheit";"körper"
"사지";"die Gliedmaßen";"z.B. 사지가 멀쩡하다 = unversehrt sein";"körper"
"몸을 떨다";"zittern";;"aktivität";"gefühl";"körper"
"깜박하다";"flackern / blinzeln";"Oft wird 깜빡하다 verwendet";"körper"
"팔굽혀펴기";"die Liegestütze";;"körper";"sport"
"윗몸 일으키기";"die Sit-ups";;"körper";"sport"
"윗몸";"der Oberkörper";;"körper"
"키우다";"aufbauen / wachsen lassen";"Zb bei Talent, Muskeln, Fähigkeiten";"körper";"lernen"
"시력 검사";"der Sehtest";;"gesundheit";"körper"
"정맥";"die Vene";;"körper"
"양치하다";"Zähne putzen";;"körper"
"치약";"die Zahnpasta";;"körper"
"헤어드라이어";"der Fön";"“Hairdryer“";"körper"
"빗";"der Kamm";;"körper"
"관절";"das Gelenk";;"körper"
"두상";"die Kopfform";;"körper"
"면도하다";"rasieren";;"körper";"leben"
"마르다";"dünn sein";;"körper"
"삼키다";"schlucken";"Auch verschlucken";"körper"
"여성";"die Frau";"여성의 → weiblich";"körper";"sozial"
"향기롭다";"Duftend sein";;"körper";"natur"
"체격";"die Statur";"Körperbau";"gesundheit";"körper"
"쥐가 나다";"einen Krampf haben";;"gesundheit";"körper";"sport"
"주먹";"die Faust";;"körper"
"삐끗하다";"verrenken";"zB Rücken verrenken";"gesundheit";"körper"
"감기다";"jmd. die Haare waschen";;"kausativ";"körper"
"씻기다";"jmd. waschen";;"körper"
"속이 쓰리다";"Sodbrennen / Magenschmerzen haben";;"gesundheit";"körper"
"가렵다";"jucken";;"gefühl";"körper"
"상체";"der Oberkörper";;"körper"
"소화";"die Verdauung";;"gesundheit";"körper"
"머릿속";"die Gedanken";"Eher wie “Mind”";"körper"
"깜박거리다";"blinzeln";"Auch 끔뻑거리다";"körper"
"사랑니";"der Weissheitszahn";;"körper"
"앞니";"die Vorderzähne";;"körper"
"몸통";"der Rumpf";;"körper";"tier"
"군살";"der (Körper-) Speck";;"gesundheit";"körper"
"세포";"die Zelle";;"körper";"natur"
"정신력";"die Geisteskraft";;"arbeit";"körper"
"대가리";"der Kopf";;"körper"
"이";"der Zahn";;"körper"
"머리통";"der Schädel";;"körper"
"부풀다";"anschwellen";;"körper"
"의식";"das Bewusstsein";;"abstrakt";"körper"
"닮다";"ähnlich sehen";;"körper"
"임신하고 있다";"schwanger sein";;"gesundheit";"kinder";"körper"
"침을 뱉다";"spucken";;"körper"
"엄지";"der Daumen";;"körper"
"털이 날리다";"Haare verlieren";;"körper"
"덩치";"der Körper";;"körper"
"힘이 세다";"stark sein";;"körper"
"눈썹";"die Augenbrauen";;"körper"
"충격";"der Schock";;"gefühl";"körper"
"밟다";"stampfen";;"körper"
"골치";"die Kopfschmerzen / der Stress";;"gesundheit";"körper"
"향기";"der Duft";;"körper"
"심장";"der Puls";;"gesundheit";"körper"
"무게";"das Gewicht";;"körper"
"발이 시리다";"kalte Füsse haben";;"körper";"wetter"
"기운";"die Kraft";"Körperliche Kraft oder Energie";"gesundheit";"körper"
"턱";"das Kinn";;"körper"
"체중";"das Körpergewicht";;"körper"
"자세";"die Haltung";;"körper"
"낮잠";"der Mittagsschlaf";;"körper"
"문신";"das Tatoo";;"körper"
"향수";"das Parfum";;"körper"
"손톱";"der Fingernagel";;"körper"
"주름";"die Falten";;"körper"
"빗다";"kämmen";;"körper"
"태어나다";"geboren werden";;"körper";"leben"
"뱃속";"das Körperinnere";;"körper"
"음성";"die Stimme";;"körper";"sprache"