"청개구리";"der Laubfrosch";;"tier"
"기생충";"der Parasit";;"tier"
"독사";"die Giftschlange";;"tier"
"사료";"das Tierfutter";;"tier"
"도둑고양이";"die streunende Katze";"Wörtlich: Diebeskatze";"tier"
"짐승";"das Vieh / Tier";;"tier"
"철새";"der Zugvogel";;"tier"
"굴레";"das Zaumzeug";;"tier"
"구렁이";"die Würgeschlange";"Kann auch generell eine grosse Schlange bezeichnen.";"tier"
"길들이다";"zähmen";;"tier"
"기러기";"die Wildgans";"Auch als Metapher: 
기러기 아빠 Beschreibt einen Mann, der in Korea arbeitet, während seine Familie im Ausland lebt, um dort die Bildung der Kinder zu ermöglichen.";"tier"
"소아지";"das Kalb";;"tier"
"벼룩";"die Laus";;"tier"
"두더지";"der Maulwurf";;"tier"
"새장";"der Vogelkäfig";;"tier"
"표범";"der Leopard";;"tier"
"타조";"der Vogelstrauss";;"tier"
"멧돼지";"das Wildschwein";;"tier"
"산양";"der Goral";"Eine Art Bergziege. Eigene Gattung.";"tier"
"사슴";"der Hirsch";;"tier"
"송곳니";"der Reisszahn";;"tier"
"발톱";"die Krallen";;"tier"
"배설물";"die Exkremente";;"tier"
"야생 동물";"das wilde Tier";;"tier"
"훈련시키다";"dressieren";;"tier"
"먹이를 주다";"füttern";;"tier"
"꼬리";"der Schwanz (Tier)";;"tier"
"야옹";"Miau";;"tier"
"하마";"das Nilpferd";;"tier"
"악어";"das Krokodil";;"tier"
"떼";"die Herde / der Schwarm";;"tier"
"이빨";"die Zähne (Tier)";;"tier"
"황소";"der Bulle";;"tier"
"뿔";"das Horn";;"tier"
"종류";"die Sorte / Art";;"tier"
"소굴";"der Unterschlupf / Hundehütte";;"tier"
"겨울잠";"der Winterschlaf";;"tier"
"독수리";"der Adler";;"tier"
"까치";"die Elster";;"tier"
"갈매기";"die Möve";;"tier"
"참새";"der Spatz";;"tier"
"새끼";"der Welpe / das Küken";;"tier"
"곤충";"das Insekt";;"tier"
"기린";"die Giraffe";;"tier"
"수족관";"das Aquarium";;"tier"
"여우";"der Fuchs";;"tier"
"부리";"der Schnabel";;"tier"
"두루미";"der Kranich";;"tier"
"거북이";"die Schildkröte";;"tier"
"병아리";"das Küken";;"tier"