"일어나다";"passieren";;"abstrakt";"basis"
"선정하다";"auswählen";;"abstrakt";"basis"
"유익하다";"hilfreich sein";;"abstrakt";"basis"
"관두다";"(mit etw.) aufhören";;"abstrakt";"basis"
"마치다";"abschliessen / fertig stellen";;"abstrakt";"basis"
"활용하다";"anwenden";;"abstrakt";"basis"
"전형하다";"auswählen";;"abstrakt";"basis"
"무단";"unerlaubt";;"abstrakt";"basis"
"선정";"die Auswahl";;"abstrakt";"basis"
"간직하다";"behalten";;"abstrakt";"basis"
"의미하다";"bedeuten";;"abstrakt";"basis"
"예외";"die Ausnahme";;"abstrakt";"basis"
"근사하다";"ähneln";;"abstrakt";"basis"
"대체";"der Ersatz";;"abstrakt";"basis"
"약간";"einige / etwas";;"abstrakt";"basis"
"그대로";"genauso / einfach so";;"abstrakt";"basis"
"가득하다";"(er-)füllen";;"abstrakt";"basis"
"지키다";"beachten / befolgen";;"abstrakt";"basis"
"표시";"die Markierung";;"abstrakt";"basis"
"차이";"der Unterschied";;"abstrakt";"basis"
"틀림없이";"fehlerfrei / absolut";;"abstrakt";"basis"
"남다";"übrig bleiben";;"abstrakt";"basis"
"관련하다";"verbunden sein";;"abstrakt";"basis"
"결정하다";"entscheiden";"Neutral für Entscheidungen als Auswahl zwischen Möglichkeiten.
z.B.
회의에서 중요한 결정해야되요.";"abstrakt";"basis"
"사실";"die Tatsache";;"abstrakt";"basis"
"상황";"die Situation";"Allgemein für Situation oder Lage";"abstrakt";"basis"
"늘다";"sich verbessern";;"abstrakt";"basis"
"경우";"die Gelegenheit";;"abstrakt";"basis"
"가능하다";"möglich sein";;"abstrakt";"basis"
"각자";"individuell";;"abstrakt";"basis"
"도움";"die Hilfe";;"abstrakt";"basis"
"그만두다";"(mit etw.) aufhören";;"abstrakt";"basis"
"구하다";"suchen";;"abstrakt";"basis"
"연결하다";"verbinden";;"abstrakt";"basis"
"추측하다";"schätzen / vermuten";;"abstrakt";"basis"
"마찬가지";"genauso";;"abstrakt";"basis"
"선택";"die Auswahl";;"abstrakt";"basis"
"기회";"die Gelegenheit";;"abstrakt";"basis"
"생기다";"entstehen";;"abstrakt";"basis"
"지나다";"passieren";;"abstrakt";"basis"
"확인하다";"bestätigen";;"abstrakt";"basis"
"이유";"der Grund";;"abstrakt";"basis"
"반대말";"das Gegenteil";;"abstrakt";"basis"
"물건";"der Gegenstand";;"abstrakt";"basis"
"볼 것";"etwas zu Sehen";;"abstrakt";"basis"
"정하다";"festlegen / bestimmen";"Besonders bei Terminen und organisatorischen Dingen.
z.B.
목표를 정해야 해요.";"abstrakt";"basis"
"보통";"normal / normalerweise";;"abstrakt";"basis"
"되다";"werden";;"abstrakt";"basis"
"아무것도";"nichts";;"abstrakt";"basis"