"점원";"die Verkäufer:in";;"basis";"beruf";"einkaufen"
"조종사";"die Pilot:in";;"basis";"beruf";"verkehr"
"박사";"die Doktor:in";"Jemand der einen Doktortitel hat";"basis";"beruf";"wissenschaft"
"목사님";"der Pfarrer";;"basis";"beruf";"religion"
"기술자";"die Ingeneur:in";;"basis";"beruf";"technik"
"지매인";"die ManagerIn";;"basis";"beruf"
"정비사";"die MechanikerIn";;"basis";"beruf"
"가정주부";"die Hausfrau";;"basis";"beruf"
"작가";"die Autor:in";;"basis";"beruf";"kultur"
"음악가";"die Musiker:in";;"basis";"beruf";"kultur"
"건축가";"die Architekt:in";;"basis";"beruf";"stadt"
"가수";"die Sänger:in";;"basis";"beruf";"kultur"
"직업";"der Beruf";;"arbeit";"basis";"beruf"
"변호사";"die AnwältIn";;"basis";"beruf"
"의사";"die ÄrztIn";;"basis";"beruf";"gesundheit"
"요리사";"die Köch:in";;"basis";"beruf";"kochen"
"배우";"die Schauspieler:in";;"basis";"beruf";"kultur"
"경찰관";"die Polizist:in";;"basis";"beruf"
"과학자";"die Wissenschaftler:in";;"basis";"beruf";"wissenschaft"
"선생님";"die LehrerIn";;"basis";"beruf";"schule"