"두께";"die Dicke";;"basis";"form"
"크다";"gross sein";;"basis";"form"
"허공";"die Luft / Leere";;"basis";"form"
"구석";"die Ecke";;"basis";"form"
"깊다";"tief sein";;"basis";"form"
"늘어나다";"sich ausdehnen";;"basis";"form"
"부분";"der Teil";;"basis";"form"
"세모나다";"dreieckig sein";;"basis";"form"
"둥글다";"rund sein";;"basis";"form"
"두껍다";"dick / schwer sein";;"basis";"form"
"얇다";"dünn sein";;"basis";"form"
"낮다";"niedrig sein";;"basis";"form"
"좁다";"eng / schmal sein";;"basis";"form"
"넓다";"weit / breit sein";;"basis";"form"
"짧다";"kurz sein";;"basis";"form"
"높다";"hoch sein";;"basis";"form"
"길다";"lang sein";;"basis";"form"
"작다";"klein sein";;"basis";"form"
"키가";"die Grösse";;"basis";"form"